time,height
14.63,-0.47094568610191345
14.67,-0.47382500767707825
14.7,-0.4676239490509033
14.73,-0.46481502056121826
14.77,-0.455496221780777
14.8,-0.4530189335346222
14.83,-0.44520512223243713
14.87,-0.44286882877349854
14.9,-0.4430944323539734
14.93,-0.44350889325141907
14.97,-0.4346199631690979
15.0,-0.430332750082016
15.03,-0.4260043203830719
15.07,-0.42017287015914917
15.1,-0.41401031613349915
15.13,-0.41562169790267944
15.17,-0.4165290594100952
15.2,-0.412619948387146
15.23,-0.413866251707077
15.27,-0.41467490792274475
15.3,-0.4106582999229431
15.33,-0.40981706976890564
15.37,-0.40989169478416443
15.4,-0.4103611409664154
15.43,-0.4107076823711395
15.47,-0.41147592663764954
15.5,-0.4100744426250458
15.53,-0.4094339907169342
15.57,-0.41792064905166626
15.6,-0.42344897985458374
15.63,-0.4202808737754822
15.67,-0.4176895320415497
15.7,-0.41717058420181274
15.73,-0.4140869677066803
15.77,-0.4072357416152954
15.8,-0.40327754616737366
15.83,-0.4036218523979187
15.87,-0.40370893478393555
15.9,-0.4018157720565796
15.93,-0.4008607864379883
15.97,-0.40035539865493774
16.0,-0.40195658802986145
16.03,-0.4058917164802551
16.07,-0.4092351198196411
16.1,-0.41346216201782227
16.13,-0.416463702917099
16.17,-0.4162735044956207
16.2,-0.4159577786922455
16.23,-0.41729557514190674
16.27,-0.41638457775115967
16.3,-0.4189307689666748
16.33,-0.41689005494117737
16.37,-0.41325417160987854
16.4,-0.4125385284423828
16.43,-0.4131927490234375
16.47,-0.41735124588012695
16.5,-0.4108021855354309
16.53,-0.4071095287799835
16.57,-0.409161239862442
16.6,-0.420225590467453
16.63,-0.42448511719703674
16.67,-0.4263375699520111
16.7,-0.42648640275001526
16.73,-0.4300658404827118
16.77,-0.4285327196121216
16.8,-0.42470237612724304
16.83,-0.42428576946258545
16.87,-0.4243153929710388
16.9,-0.4277474582195282
16.93,-0.4331122636795044
16.97,-0.43345773220062256
17.0,-0.4335055649280548
17.03,-0.4336268901824951
17.07,-0.43404489755630493
17.1,-0.433919221162796
17.13,-0.4337818920612335
17.17,-0.4344000816345215
17.2,-0.437536358833313
17.23,-0.43756452202796936
17.27,-0.4421311318874359
17.3,-0.4444619119167328
17.33,-0.44522276520729065
17.37,-0.4455086886882782
17.4,-0.44491448998451233
17.43,-0.43422091007232666
17.47,-0.4415507912635803
17.5,-0.4418103098869324
17.53,-0.44542163610458374
17.57,-0.4459521770477295
17.6,-0.4445500373840332
17.63,-0.44116541743278503
17.67,-0.4402335584163666
17.7,-0.4347190856933594
17.73,-0.42966845631599426
17.77,-0.4279165267944336
17.8,-0.41960465908050537
17.83,-0.42035406827926636
17.87,-0.4199019968509674
17.9,-0.4200035631656647
17.93,-0.42025861144065857
17.97,-0.42051681876182556
18.0,-0.4212106466293335
18.03,-0.42137953639030457
18.07,-0.4218369424343109
18.1,-0.4219786524772644
18.13,-0.42250877618789673
18.17,-0.42257019877433777
18.2,-0.42307430505752563
18.23,-0.42366674542427063
18.27,-0.4237979054450989
18.3,-0.4244128167629242
18.33,-0.4251314401626587
18.37,-0.4262005090713501
18.4,-0.4270256459712982
18.43,-0.42778831720352173
18.47,-0.42868727445602417
18.5,-0.4287988245487213
18.53,-0.42912963032722473
18.57,-0.429383248090744
18.6,-0.42941462993621826
18.63,-0.42944270372390747
18.67,-0.4298763573169708
18.7,-0.4303438663482666
18.73,-0.43111711740493774
18.77,-0.4314345717430115
18.8,-0.4314461648464203
18.83,-0.4314497113227844
18.87,-0.431519478559494
18.9,-0.43230313062667847
18.93,-0.4332326650619507
18.97,-0.43343988060951233
19.0,-0.43351876735687256
19.03,-0.4335613250732422
19.07,-0.4335686266422272
19.1,-0.4335058331489563
19.13,-0.4334932267665863
19.17,-0.43345290422439575
19.2,-0.43346768617630005
19.23,-0.43342697620391846
19.27,-0.43326687812805176
19.3,-0.4318755269050598
19.33,-0.430482417345047
19.37,-0.4304938018321991
19.4,-0.43031609058380127
19.43,-0.430337518453598
19.47,-0.43050095438957214
19.5,-0.4305860698223114
19.53,-0.43028485774993896
19.57,-0.4308687448501587
